Binomial.1.2,k_medoid_herbivore,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Substrate.Source,Substrate.Notes,Food.Handling,Food.Handling.Notes,Food.Handling.Source,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes
Antidorcas_bondi,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Isotopes (C13) + Dental wear (mesowear + microwear) Species,"Sewell, L., Merceron, G., Hopley, P. J., Zipfel, B., & Reynolds, S. C. (2018). Using springbok (Antidorcas) dietary proxies to reconstruct inferred palaeovegetational changes over 2 million years in Southern Africa. Journal of Archaeological Science: Reports.",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA
Antidorcas_marsupialis,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Mega-groups,NA,11,,,,,NA
Antifer_ultra,yes,As relative of suggested similar size,The genus has few fossils and the only certain seperation from Blastocerus is based on antler morphology,NA,NA,Imputed,No data found,,Reported Family,extrapolated based on extant relatives,NA,"1, 104","Figueroa (2016): Open, brushy, savanna habitats",Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Antilocapra_americana,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Antilope_cervicapra,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Arabitragus_jayakari,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1,30",NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,0,2,0,0,Solitary/pairs,Source says small groups are sometimes formed as well,1,,,,,NA
Archaeoindris_fontoynonti,yes,Reported,"Werdelin L & Sanders WJ (eds) Cenozoic Mammals of Africa (2010). Subfossil Lemurs of Madagascar Godfrey LR, Jungers WL, Burney DA",NA,NA,Estimated Dental wear (microwear) Species,"Godfrey, L. R., Semprebon, G. M., Jungers, W. L., Sutherland, M. R., Simons, E. L., Solounias, N., & Solouniase, N. (2004). Dental use wear in extinct lemurs: evidence of diet and niche differentiation. Journal of Human Evolution, 47(3), 145â€“169. https://doi.org/10.1016/j.jhevol.2004.06.003",,Extrapolated from putative sister family,"Campbell, J.L., et al. 2000. Description of the Gastrointestinal Tract of Five Lemur Species: Propithecus tattersalli, Propithecus verreauxicoquereli, Varecia variegata, Hapalemur griseus, and Lemur catta. American Journal of Primatology 52:133-142.; Lambert, J. E. 1998. Primate digestion: interactions among anatomy, physiology, and feeding ecology. Evolutionary Anthropology 7(1): 8-20.","Sister family to Indriidae, which are specizlied cecum fermenters",Jungers et al. 1997,Possibly more terrestrial,NA,,NA,soft,,Reported morphology order,2,2,NA,NA,NA,NA,NA,,,,,NA
Archaeolemur_edwardsi,yes,Reported,"Werdelin L & Sanders WJ (eds) Cenozoic Mammals of Africa (2010). Subfossil Lemurs of Madagascar Godfrey LR, Jungers WL, Burney DA",NA,NA,Estimated Observed + Dental wear (microwear) Species,"Godfrey, L. R., Semprebon, G. M., Jungers, W. L., Sutherland, M. R., Simons, E. L., Solounias, N., & Solouniase, N. (2004). Dental use wear in extinct lemurs: evidence of diet and niche differentiation. Journal of Human Evolution, 47(3), 145â€“169. https://doi.org/10.1016/j.jhevol.2004.06.003; ï»¿Vasey, N., Burney, D. A., Godfrey, L. R., Vasey, N., Burney, D. A., & Godfrey, L. R. (2013). Coprolites Associated with Archaeolemur Remains in North-Western Madagascar Suggest Dietary Diversity and Cave Use in a Subfossil Prosimian. In Leaping Ahead: Advances in Prosimian Biology (pp. 149-156). https://doi.org/10.1007/978-1-4614-4511-1_17","Hard-object specialists. bone collagen carbon: â€_Ã Ã_27.5; scat contained plant fiber, frog and bat bones, and gastropod shells",Reported Sister Families,"Campbell, J.L., et al. 2000. Description of the Gastrointestinal Tract of Five Lemur Species: Propithecus tattersalli, Propithecus verreauxicoquereli, Varecia variegata, Hapalemur griseus, and Lemur catta. American Journal of Primatology 52:133-142.","Foregut fermentation is very rare in Primates (only colobin monkeys), so presume hindgut - and because they are large they are almost certainly colon",Jungers et al. 2005,Probably not arboreal,Mouth,Hands lacked dexterity: Jungers et al. 2005,Hands lacked dexterity: Jungers et al. 2005,soft,,Reported morphology family,NA,2,NA,NA,NA,NA,NA,,,,,NA
Archaeolemur_majori,yes,Reported,"Werdelin L & Sanders WJ (eds) Cenozoic Mammals of Africa (2010). Subfossil Lemurs of Madagascar Godfrey LR, Jungers WL, Burney DA",NA,NA,Estimated Dental wear (microwear) Species,"Godfrey, L. R., Semprebon, G. M., Jungers, W. L., Sutherland, M. R., Simons, E. L., Solounias, N., & Solouniase, N. (2004). Dental use wear in extinct lemurs: evidence of diet and niche differentiation. Journal of Human Evolution, 47(3), 145â€“169. https://doi.org/10.1016/j.jhevol.2004.06.003",Hard-object specialists. bone collagen carbon isotope values -19.9 - .18.3; microwear suggests fruits,Reported Sister Families,"Campbell, J.L., et al. 2000. Description of the Gastrointestinal Tract of Five Lemur Species: Propithecus tattersalli, Propithecus verreauxicoquereli, Varecia variegata, Hapalemur griseus, and Lemur catta. American Journal of Primatology 52:133-142.","Foregut fermentation is very rare in Primates (only colobin monkeys), so presume hindgut - and because they are large they are almost certainly colon",Jungers et al. 2005,Probably not arboreal,Mouth,Hands lacked dexterity: Jungers et al. 2005,Hands lacked dexterity: Jungers et al. 2005,soft,,Reported morphology family,NA,2,NA,NA,NA,NA,NA,,,,,NA
Arctotherium_tarijense,no,Reported,Acta Palaeontologica Polonica 51: 407-422 (2006),NA,NA,Imputed,"Figueirido, B., & Soibelzon, L. H. (2010). Inferring palaeoecology in extinct tremarctine bears (Carnivora, Ursidae) using geometric morphometrics. Lethaia, 43(2), 209â€“222. https://doi.org/10.1111/j.1502-3931.2009.00184.x",Diet primarily plant-based no further breakdown,Reported Order,extrapolated based on extant relatives,NA,"Meloro, Carlo, and Alessandro Marques de Oliveira. Elbow Joint Geometry in Bears (Ursidae, Carnivora): a Tool to Infer Paleobiology and Functional Adaptations of Quaternary Fossils. Journal of Mammalian Evolution (2017): 1-14.",Predicted through morphological inference of elbow joint simmilarity to extant species.,Mouth + Hands,,Inferred,soft,NA,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA
Arctotherium_wingei,no,Assumed isometric based on mandible size,Journal of Vertebrate Paleontology 28: 1232-1237 (2008),NA,NA,Imputed,"Figueirido, B., & Soibelzon, L. H. (2010). Inferring palaeoecology in extinct tremarctine bears (Carnivora, Ursidae) using geometric morphometrics. Lethaia, 43(2), 209â€“222. https://doi.org/10.1111/j.1502-3931.2009.00184.x",Entirely herbivorous though sample is based on a single young,Reported Order,extrapolated based on extant relatives,NA,"Meloro, Carlo, and Alessandro Marques de Oliveira. Elbow Joint Geometry in Bears (Ursidae, Carnivora): a Tool to Infer Paleobiology and Functional Adaptations of Quaternary Fossils. Journal of Mammalian Evolution (2017): 1-14.",Predicted through morphological inference of elbow joint simmilarity to extant species.,Mouth + Hands,,Inferred,soft,NA,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA
Axis_axis,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,2,0,0,Gregarious,NA,1,,,,,NA
Axis_calamianensis,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,0,0,0,0,Gregarious,NA,1,,,,,NA
Axis_kuhlii,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,1,,,,,NA
Axis_porcinus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,2,0,0,Solitary/pairs,NA,1,,,,,NA
Babakotia_radofilai,yes,Reported,"Werdelin L & Sanders WJ (eds) Cenozoic Mammals of Africa (2010). Subfossil Lemurs of Madagascar Godfrey LR, Jungers WL, Burney DA",NA,NA,Estimated Dental wear (microwear) Species,"Godfrey, L. R., Semprebon, G. M., Jungers, W. L., Sutherland, M. R., Simons, E. L., Solounias, N., & Solouniase, N. (2004). Dental use wear in extinct lemurs: evidence of diet and niche differentiation. Journal of Human Evolution, 47(3), 145â€“169. https://doi.org/10.1016/j.jhevol.2004.06.003",,Extrapolated from putative sister family,"Campbell, J.L., et al. 2000. Description of the Gastrointestinal Tract of Five Lemur Species: Propithecus tattersalli, Propithecus verreauxicoquereli, Varecia variegata, Hapalemur griseus, and Lemur catta. American Journal of Primatology 52:133-142.; Lambert, J. E. 1998. Primate digestion: interactions among anatomy, physiology, and feeding ecology. Evolutionary Anthropology 7(1): 8-20.","Sister family to Indriidae, which are specizlied cecum fermenters","Jungers et al. 1997, Shapiro L. J. et al. 2005. Morphometric analysis of lumbar vertebrae in extinct Malagasay Strepsirrhines. American Journal of Physical Anthropology 126:000-000","Less specialized for arboreal lifestyle than Palaeopropithecus, so presume some terrestriality?",NA,,NA,soft,,Reported morphology order,3,3,NA,NA,NA,NA,NA,,,,,NA
Babyrousa_babyrussa,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Genus,"1,6, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Babyrousa are a group of suids that seem to have retained an archaic form of FG fermentation,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,1,,,,,NA
Babyrousa_celebensis,yes,Assumed isometric based on skull size,Asian Wild Pig News 2: 33-39 (2002),Babyrousa_babyrussa,Asian Wild Pig News 2: 33-39 (2002),Estimated,1,NA,Reported Genus,"1,6, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Babyrousa are a group of suids that seem to have retained an archaic form of FG fermentation,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,2,3,0,2,Gregarious,NA,1,rooting,,,1,NA
Babyrousa_togeanensis,yes,Assumed isometric based on skull size,Asian Wild Pig News 2: 33-39 (2002),Babyrousa_babyrussa,Asian Wild Pig News 2: 33-39 (2002),Estimated,1,NA,Reported Genus,"1,6, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Babyrousa are a group of suids that seem to have retained an archaic form of FG fermentation,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,0,3,0,3,Gregarious,not 100% clear whether the species is generally solitary or not. Familial groups seem to be more common,1,rooting,,,1,NA
Beatragus_hunteri,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Bison_bison,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Mega-groups,"Handbook of the mammals of the world speaks about group size up to 480 individuals, which technically below our threshold. However, it also indicates that current group sizes are a lot smaller than the historical sizes were",1,,,,,NA
Bison_bonasus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Blastocerus_dichotomus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Bootherium_bombifrons,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Isotopes (C13+018) Species,"Kohn, M. J., & Mckay, M. P. (2012). Paleoecology of late Pleistoceneâ€“Holocene faunas of eastern and central Wyoming, USA, with implications for LGM climate models. Palaeogeography, Palaeoclimatology, Palaeoecology, 326â€“238, 42â€“53. https://doi.org/10.1016/j.palaeo.2012.01.037",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Borungaboodie_hatcheri,yes,Reported,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Estimated Craniodental Species,"Prideaux, G. J. (1999). Borungaboodie hatcheri gen. et sp. nov., a very large bettong (Marsupialia: Macropodoidea) from the Pleistocene of southwestern Australia, 57, 317â€“329. Retrieved from http://museum.wa.gov.au/sites/default/files/26. Prideaux.pdf","Likely to have fed on seeds, fruits, carrion, insects, fungus, tender browse",Reported Family,extrapolated based on extant relatives,NA,Inferred from Prideaux 1999,Sclerophyll forest,NA,,NA,soft,,Youtube of extant family members,3,3,NA,3,NA,NA,NA,rooting,Expert,,Prideaux 1999,NA
Bos_gaurus,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,"1, Haleem & Ilyas 2018 Zoolog. Sci",NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Gregarious,NA,1,,,,,NA
Bos_javanicus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Bos_mutus,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Mega-groups,NA,1,,,,,NA
Bos_primigenius,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Observed Species,"Van Vuure, C. T. (2003). De oeros, het spoor terug.; ï»¿Cromsigt, J. P. G. M., Kemp, Y. J. M., Rodriguez, E., & Kivit, H. (2017). Rewilding Europeâ€™s large grazer community: How functionally diverse are the diets of European bison, cattle, and horses? Restoration Ecology, (2016), 1â€“9. https://doi.org/10.1111/rec.12661",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,NA,NA,NA,NA,Gregarious,NA,Inferred,,,,,NA
Bos_sauveli,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Bos_taurus,yes,Reported,"Jones, K.E., et al. 2009. PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals. Ecology 90:2648.",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,NA,NA,NA,NA,Gregarious,NA,1,,,,,NA
Boselaphus_tragocamelus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,2,0,0,Gregarious,NA,1,,,,,NA
Brachyteles_arachnoides,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,14,NA,Reported Family,"3,100",NA,14,NA,NA,,NA,soft,,Kubo et al. 2019,0,3,0,0,Gregarious,NA,14,,,,,NA
Bubalus_arnee,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,2,0,0,Gregarious,NA,1,,,,,NA
Bubalus_bubalis,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,2,0,0,Gregarious,NA,1,,,,,NA
Bubalus_depressicornis,yes,Reported,"Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,"Handbook of the mammals of the world indicates this is uncertain, as very little is known about the species",1,,,,,NA
Bubalus_grovesi,yes,Imputed,PHYLACINE 1.2,NA,NA,Imputed,No data found,NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Bubalus_mindorensis,yes,Reported,"Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",NA,NA,Estimated,"1,19,34",uncertain,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,"1,19",,,,,NA
